Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
34,Bank of Communications,Banking,China,52995,10141,1209176,62164
34,Nestle,"Food, Drink & Tobacco",Switzerland,90816,8659.4,129779,229485
36,UnitedHealth Group,Health Care Equipment & Services,United States,184871,7237,125037,160185
37,Nippon Telegraph & Tel,Telecommunications services,Japan,104972,7384.6,180257,92230
38,Itaú Unibanco Holding,Banking,Brazil,61283,6673.6,419923,79208
38,Softbank,Telecommunications services,Japan,82136,8307,213204,78632
40,Gazprom,Oil & Gas Operations,Russia,91353,12141.2,265393,51815
40,General Motors,Consumer Durables,United States,166380,9427,221690,50792
42,China Merchants Bank,Banking,China,44491,9381.4,855070,66376
43,IBM,IT Software & Services,United States,79918,11872,117470,162365
44,Royal Bank of Canada,Banking,Canada,35285,8348.5,891096,107205
45,Japan Post Holdings,Insurance,Japan,123728,3124.5,2522131,55145
46,Procter & Gamble,Consumer Durables,United States,65231,9533,117033,228115
47,Pfizer,Drugs & Biotechnology,United States,52824,7131,171615,203070
48,HSBC Holdings,Banking,United Kingdom,62087,2479,2374986,162638
49,Goldman Sachs Group,Diversified Financials,United States,36854,7398,860165,90648
50,Siemens,Conglomerates,Germany,88354,6446.9,133141,109773
51,BMW Group,Consumer Durables,Germany,104163,7591.8,210341,57732
52,China Life Insurance,Insurance,China,82836,2879.8,388746,98104
53,ING Group,Banking,Netherlands,53581,5117.3,891349,57932
54,Intel,Semiconductors,United States,59387,10316,113327,170350
55,Postal Savings Bank Of China,Banking,China,48036,6009.7,1189391,55157
56,Sberbank,Banking,Russia,43044,8067.7,415579,63903
56,TD Bank Group,Banking,Canada,31874,6933.8,910361,92001
58,Cisco Systems,Technology Hardware & Equipment,United States,48570,9832,126248,165059
58,Commonwealth Bank,Banking,Australia,30930,7065.2,703622,109902
60,Morgan Stanley,Diversified Financials,United States,37913,5975,815992,78286
61,Novartis,Drugs & Biotechnology,Switzerland,48520,6699.6,130387,193163
62,Banco Bradesco,Banking,Brazil,70150,4327.1,362432,53511
63,Industrial Bank,Banking,China,44297,8106.4,872100,45126
64,Ford Motor,Consumer Durables,United States,151800,4596,237951,44718
64,Shanghai Pudong Development,Banking,China,40060,7992.6,842832,50451
66,CVS Health,Retailing,United States,177526,5291,94462,79839
67,Walt Disney,Media,United States,54943,8990,91576,178017
68,Prudential,Insurance,United Kingdom,96936,2592,568951,53669
69,Prudential Financial,Insurance,United States,56333,4318,783962,45559
70,Oracle,IT Software & Services,United States,37429,8917,125382,182239
71,China State Construction Engineering,Construction,China,140824,4864.3,201364,43181
72,Citic Pacific,Diversified Metals & Mining,Hong Kong,49059,5554.8,933555,41408
73,Boeing,Aerospace & Defense,United States,94571,4890,89997,108756
74,Honda Motor,Consumer Durables,Japan,127865,3931.3,161802,51382
75,China Minsheng Banking,Banking,China,40151,7226.3,848682,43653
76,Westpac Banking Group,Banking,Australia,27764,5475.9,642677,86067
77,Deutsche Telekom,Telecommunications services,Germany,80857,2959.1,156615,80001
78,China Citic Bank,Banking,China,39664,6289.1,853450,43117
79,Roche Holding,Drugs & Biotechnology,Switzerland,51338,9720.2,75583,219267
80,UBS,Banking,Switzerland,37975,3355.8,919974,59983
81,Bank of Nova Scotia,Banking,Canada,26697,5548.7,680339,70479
82,Rosneft,Oil & Gas Operations,Russia,74867,2701.7,193189,62376
83,Amazon.com,Retailing,United States,135987,2371,86022,427011
84,PepsiCo,"Food, Drink & Tobacco",United States,62801,6329,74129,159406
84,Sumitomo Mitsui Financial,Banking,Japan,30493,5200.9,1648785,48067
86,Coca-Cola,"Food, Drink & Tobacco",United States,41478,6527,87270,182883
87,United Technologies,Conglomerates,United States,57383,5044,89706,90583
88,Sanofi,Drugs & Biotechnology,France,37413,5209.1,110403,116109
89,Bayer,Chemicals,Germany,51832,5012.2,90086,94382
90,Mizuho Financial,Banking,Japan,28974,6038.2,1752330,44429
91,Zurich Insurance Group,Insurance,Switzerland,67317,3210.1,364332,40000
92,ANZ,Banking,Australia,26528,4201.9,701007,68836
93,BASF,Chemicals,Germany,63662,4486.7,83865,90952
94,Walgreens Boots Alliance,Retailing,United States,116081,4247,72505,88995
95,Nissan Motor,Consumer Durables,Japan,105939,4465.1,157269,38372
96,US Bancorp,Banking,United States,22006,5870,450954,86608
97,American Express,Diversified Financials,United States,34001,5365,158893,70092
98,Hon Hai Precision,Consumer Durables,Taiwan,135151,4610,80426,54375
99,Enel,Utilities,Italy,75890,2842.9,164115,47494
100,Merck,Drugs & Biotechnology,United States,39555,3920,95377,173328
100,National Australia Bank,Banking,Australia,24181,4347.6,595327,65024
102,PetroChina,Oil & Gas Operations,China,214760,1162.1,344910,204477
103,Unilever,Consumer Durables,Netherlands,58311,5734.5,59518,143891
104,Hyundai Motor,Consumer Durables,South Korea,80719,4660,148068,34221
105,BBVA-Banco Bilbao Vizcaya,Banking,Spain,27273,3844,771925,49646
106,Reliance Industries,Oil & Gas Operations,India,41792,4349.1,97895,71165
107,Charter Communications,Media,United States,29003,3522,153237,101619
108,SAIC Motor,Consumer Durables,China,112725,4818,84989,43491
109,Chubb,Insurance,Switzerland,31944,4135,159786,64031
110,Telefónica,Telecommunications services,Spain,57563,2620.7,130410,55893
111,AIA Group,Insurance,Hong Kong,26455,4164,183028,77076
112,Société Générale,Banking,France,27985,4006.6,1457875,39893
113,Dow Chemical,Chemicals,United States,48137,4294,79511,77033
114,Home Depot,Retailing,United States,94595,7957,42966,176728
115,Lloyds Banking Group,Banking,United Kingdom,23405,2822.7,1010506,55869
115,Medtronic,Health Care Equipment & Services,Ireland,29361,3969,97578,110017
117,Kraft Heinz Company,"Food, Drink & Tobacco",United States,26484,3632,120480,110395
117,Saudi Basic Industries,Chemicals,Saudi Arabia,35413,4756.1,84464,80696
119,Facebook,IT Software & Services,United States,27638,9487,64961,407300
120,Munich Re,Insurance,Germany,68764,2854,286949,30461
121,Intesa Sanpaolo,Banking,Italy,24813,3441.4,764799,45265
122,Barclays,Banking,United Kingdom,29187,2362.6,1498999,45427
123,Rio Tinto,Diversified Metals & Mining,United Kingdom,33926,4683.5,89263,72901
124,BHP Billiton,Diversified Metals & Mining,Australia,33950,2433.6,119535,98308
125,CK Hutchison,Conglomerates,Hong Kong,33474,4252.3,130717,47389
126,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,45558,1246.7,261139,213102
127,Taiwan Semiconductor,Semiconductors,Taiwan,29392,10364,58533,161734
128,Capital One Financial,Diversified Financials,United States,27906,3727,357033,40325
129,LukOil,Oil & Gas Operations,Russia,74606,3086.7,83185,44570
130,Swiss Re,Insurance,Switzerland,43621,3556.4,207604,32120
131,Amgen,Drugs & Biotechnology,United States,22683,7722,77626,120322
132,Banco do Brasil,Banking,Brazil,57272,2304.6,430570,29044
133,Bank of Montreal,Banking,Canada,19703,3834.1,531071,48552
134,Gilead Sciences,Drugs & Biotechnology,United States,30317,13501,56977,87036
135,China Communications Construction,Construction,China,64127,2489.2,115327,38839
136,Honeywell International,Conglomerates,United States,39302,4742,54146,94594
137,Manulife,Insurance,Canada,38918,2210.7,511337,34377
138,Korea Electric Power,Utilities,South Korea,51880,6075.4,147240,25493
139,Generali Group,Insurance,Italy,90542,2302,553003,23711
140,Alibaba,Business Services & Supplies,China,21493,5713.6,70679,264865
141,KDDI,Telecommunications services,Japan,43156,5129.6,52308,68324
142,China Telecom,Telecommunications services,China,53047,2733.9,93873,40414
143,AbbVie,Drugs & Biotechnology,United States,25638,5923,66099,104466
143,Tokio Marine Holdings,Insurance,Japan,44613,2777.1,189512,30563
145,Iberdrola,Utilities,Spain,32318,2992.2,112548,46426
146,EDF,Utilities,France,78765,2510,297060,23260
147,PNC Financial Services,Banking,United States,16064,3877,369353,57935
148,Tencent Holdings,IT Software & Services,China,22831,6185,56968,277122
149,Allergan,Drugs & Biotechnology,Ireland,14967,14973.4,128986,80068
149,China Everbright Bank,Banking,China,26128,4577,578465,26791
151,Credit Agricole,Banking,France,18645,3542,1607684,36512
152,Lockheed Martin,Aerospace & Defense,United States,49919,3753,47806,78319
153,Time Warner,Media,United States,29318,3916,65966,76241
154,Duke Energy,Utilities,United States,22743,2666,132761,57550
155,Anthem,Health Care Equipment & Services,United States,85197,2469.8,65083,44046
156,Vale,Diversified Metals & Mining,Brazil,27148,3818.6,99148,45403
157,Nordea Bank,Banking,Sweden,15068,4171.2,649580,45411
158,Express Scripts,Health Care Equipment & Services,United States,100488,3404.4,51745,39927
159,United Parcel Service,Air Courier,United States,60502,3431,40377,91344
160,Aetna,Health Care Equipment & Services,United States,63164,2260.3,69146,45144
161,China Shenhua Energy,Diversified Metals & Mining,China,26455,3416,82260,54095
162,VINCI,Construction,France,42641,2771,72857,43568
163,Bank of New York Mellon,Banking,United States,15618,3495,333469,48830
164,Renault,Consumer Durables,France,56685,3782.1,107693,24586
165,China Railway Group,Construction,China,95353,1880.6,108602,29633
166,AIRBUS,Aerospace & Defense,France,73652,1100.7,126173,59472
167,China Railway Construction,Construction,China,93213,2099.3,109266,26469
167,China Vanke,Real Estate,China,33735,3122.1,119530,30546
169,Jardine Matheson,Conglomerates,Hong Kong,37051,2503,71523,47648
170,Qualcomm,Semiconductors,United States,23778,4889,52366,83187
171,Hewlett Packard Enterprise,Technology Hardware & Equipment,United States,48764,3161,76662,30433
172,British American Tobacco,"Food, Drink & Tobacco",United Kingdom,19904,6271.5,49146,123765
173,Visa,Diversified Financials,United States,15978,5990,63370,206396
174,China Pacific Insurance,Insurance,China,40281,1815,143975,33472
174,MetLife,Insurance,United States,64690,800,905164,57201
176,AstraZeneca,Drugs & Biotechnology,United Kingdom,22969,3651.4,62526,75178
177,Altria Group,"Food, Drink & Tobacco",United States,19337,14215,45932,138810
178,SAP,IT Software & Services,Germany,24406,4016.6,46701,119722
179,Costco Wholesale,Retailing,United States,121194,2384,35630,74892
179,Travelers,Insurance,United States,27654,2992,101741,33580
181,Philip Morris International,"Food, Drink & Tobacco",United States,26714,6947,36851,176221
182,Union Pacific,Transportation,United States,19941,4233,56755,86811
183,Delta Air Lines,Airline,United States,39605,4373,58899,33009
184,Southern Company,Utilities,United States,19869,2494,109697,49287
185,Lowe's,Retailing,United States,65017,3061,34408,71133
185,National Grid,Utilities,United Kingdom,21946,2906.4,81741,47978
187,Legal & General Group,Insurance,United Kingdom,105456,1697.4,571193,18176
188,McKesson,Drugs & Biotechnology,United States,196498,2030,57874,30517
189,Christian Dior,Consumer Durables,France,43696,1951.3,68331,42741
190,PTT PCL,Oil & Gas Operations,Thailand,48735,2646.1,63364,32363
191,Dai-ichi Life Insurance,Insurance,Japan,55691,1734.8,438797,19869
192,Twenty-First Century Fox,Media,United States,28062,3085,49207,57505
193,Canadian Imperial Bank,Banking,Canada,14569,3569,393706,34489
194,FedEx,Air Courier,United States,57570,1905,46781,52312
194,GlaxoSmithKline,Drugs & Biotechnology,United Kingdom,37631,1230.6,73003,99751
196,Deutsche Post,Air Courier,Germany,63423,2919.3,40636,40953
197,3M,Conglomerates,United States,30109,5050,32906,113537
198,L'Oréal Group,Consumer Durables,France,28581,3435.6,37581,107454
199,Aflac,Insurance,United States,22690,2659,129819,29246
200,Allstate,Insurance,United States,36276,1877,110374,29616
201,Hitachi,Consumer Durables,Japan,85804,1752.8,82653,25556
202,Brookfield Asset Management,Real Estate,Canada,24872,1640.7,159826,35355
203,BT Group,Telecommunications services,United Kingdom,31668,3081.8,53969,38516
204,NextEra Energy,Utilities,United States,15210,2895,89993,60361
205,BlackRock,Diversified Financials,United States,11210,3172,220177,62632
206,Continental,Consumer Durables,Germany,44856,3100.1,39391,42713
206,MS&AD Insurance,Insurance,Japan,47809,2029.2,178271,19186
208,Aviva,Insurance,United Kingdom,74329,948.6,511145,25914
209,Cigna,Health Care Equipment & Services,United States,39698,1867,60344,39024
210,Phillips 66,Oil & Gas Operations,United States,71172,1549,51653,39884
211,Valero Energy,Oil & Gas Operations,United States,75659,2289,46844,29423
212,Enbridge,Oil & Gas Operations,Canada,26106,1561.6,64004,69293
213,Mondel?z International,"Food, Drink & Tobacco",United States,25923,1616,61538,67353
214,People's Insurance Company,Insurance,China,64599,2148,129668,17472
215,McDonald's,"Hotels, Restaurants & Leisure",United States,24622,4660.3,31024,106436
216,ArcelorMittal,Diversified Metals & Mining,Luxembourg,56782,1759.7,75142,25103
217,East Japan Railway,Transportation,Japan,26495,2303,66137,34229
218,Itochu,Trading Companies,Japan,44015,2390.7,71990,22436
219,Japan Tobacco,"Food, Drink & Tobacco",Japan,19725,3880.9,40677,66379
220,EI du Pont de Nemours,Chemicals,United States,24609,2513,39964,69209
221,Eli Lilly,Drugs & Biotechnology,United States,21222,2737.6,38806,94138
221,Panasonic,Consumer Durables,Japan,66561,1918.1,52686,26194
223,Sun Hung Kai Properties,Real Estate,Hong Kong,13382,4972.8,80097,43601
224,Fiat Chrysler Automobiles,Consumer Durables,United Kingdom,122808,1994.5,110056,15549
225,LafargeHolcim,Construction,Switzerland,27309,1818,68497,35447
225,Qatar National Bank,Banking,Qatar,11689,3395.9,197642,37676
227,Target,Retailing,United States,69496,2737,37431,29424
228,Fresenius,Health Care Equipment & Services,Germany,32172,1762.2,48990,43886
229,Danaher,Conglomerates,United States,19889,2553.7,45295,59734
230,Danske Bank,Banking,Denmark,11658,2852,494169,31925
230,General Dynamics,Aerospace & Defense,United States,31353,2968,32872,57046
232,Reynolds American,"Food, Drink & Tobacco",United States,12503,6073,51095,90618
233,Denso,Consumer Durables,Japan,41093,2243.8,43572,33590
234,Bristol-Myers Squibb,Drugs & Biotechnology,United States,19427,4457,33707,88009
235,CRRC,Capital Goods,China,34156,1694.4,48681,42602
236,ABB,Conglomerates,Switzerland,33836,1963.9,39688,49879
237,Exelon,Utilities,United States,32182,1134,114904,33329
238,Cathay Financial,Insurance,Taiwan,29023,1476.5,252186,19775
239,Sun Life Financial,Insurance,Canada,19859,1948,188728,21919
240,Repsol,Oil & Gas Operations,Spain,38373,1889.4,68399,23823
241,Kroger,Food Markets,United States,115337,1943,37525,27299
242,Abbott Laboratories,Health Care Equipment & Services,United States,20853,1375,55011,75738
243,HCA Holdings,Health Care Equipment & Services,United States,41490,2890,33758,32580
244,State Bank of India,Banking,India,43700,666.6,493344,36549
245,DBS Group,Banking,Singapore,10280,3069.6,333478,34424
246,Oil & Natural Gas,Oil & Gas Operations,India,19886,2157.3,57720,37242
247,American Airlines Group,Airline,United States,40181,2676,51274,21079
247,BB&T,Banking,United States,11287,2426,221151,35631
249,Nike,Consumer Durables,United States,33821,4078,23152,91165
250,Schneider Electric,Capital Goods,France,27315,1935.8,44142,41911
251,Thermo Fisher Scientific,Health Care Equipment & Services,United States,18274,2021.8,45908,59899
252,Danone,"Food, Drink & Tobacco",France,24274,1902.7,46355,41979
253,Samsung Life Insurance,Insurance,South Korea,24145,1770.6,219069,18167
254,Air Liquide,Chemicals,France,20061,2038.2,46533,44980
255,Huaxia Bank,Banking,China,15859,2997.8,340888,17580
256,Orix,Diversified Financials,Japan,22848,2410.5,95533,19750
257,Bank of Beijing,Banking,China,13444,2702.4,306273,21469
258,HDFC Bank,Banking,India,11362,1955.3,110288,57414
259,KBC Group,Banking,Belgium,11279,2684.7,290267,27641
260,Deere & Company,Capital Goods,United States,26666,1462.6,56297,34824
261,Diageo,"Food, Drink & Tobacco",United Kingdom,15247,3173.6,37354,71167
262,Central Japan Railway,Transportation,Japan,16060,3388.5,51031,32612
262,Liberty Global,Media,United Kingdom,20009,1705.3,68684,31195
264,Indian Oil,Oil & Gas Operations,India,54135,1713.6,37278,30036
265,Shinhan Financial Group,Diversified Financials,South Korea,14158,2360.6,327604,20042
266,Canon,Business Services & Supplies,Japan,31304,1386.4,44056,41579
267,Synchrony Financial,Diversified Financials,United States,15122,2251,90207,26886
268,Saint-Gobain,Construction,France,43245,1450.2,46163,28000
269,United Continental Holdings,Airline,United States,36556,2263,45427,22300
270,Carnival,"Hotels, Restaurants & Leisure",United States,16528,2990,38703,43935
271,HP,Technology Hardware & Equipment,United States,48652,2515,28192,29414
272,Accenture,IT Software & Services,Ireland,35702,3809.7,20079,77761
273,Country Garden Holdings,Real Estate,Hong Kong,23046,1732.4,85124,20337
274,State Street,Diversified Financials,United States,10635,2141,242698,30089
275,Volvo Group,Capital Goods,Sweden,35263,1535.7,44712,28575
276,Inditex,Consumer Durables,Spain,25741,3486.1,21205,112114
277,Seven & I Holdings,Food Markets,Japan,53900,893.6,49237,37023
278,Mitsubishi Electric,Capital Goods,Japan,39112,1942.1,34101,29875
279,Bridgestone,Consumer Durables,Japan,30711,2443.9,31896,31743
280,PG&E,Utilities,United States,17666,1407,70912,33967
281,Cardinal Health,Drugs & Biotechnology,United States,127235,1352,35021,25978
282,Telstra,Telecommunications services,Australia,18612,4072.3,30234,40727
283,Dominion Resources,Utilities,United States,11404,2123,71610,48745
284,Nomura,Diversified Financials,Japan,14766,1465.1,369118,21155
285,Raytheon,Aerospace & Defense,United States,24069,2211,30052,44916
286,Henkel,Consumer Durables,Germany,20701,2271,30026,52032
287,Marathon Petroleum,Oil & Gas Operations,United States,56015,1173,44413,26404
288,Merck,Drugs & Biotechnology,Germany,16620,1802,41137,49092
289,Peugeot,Consumer Durables,France,59768,1913.7,48234,16860
290,Tata Motors,Consumer Durables,India,41204,1685.5,39487,24934
291,Archer Daniels Midland,"Food, Drink & Tobacco",United States,62391,1279,39769,25617
292,CNP Assurances,Insurance,France,30680,1243.8,428094,13836
292,Natixis,Banking,France,14594,1476.8,556697,19135
294,China Huarong Asset Management,Banking,China,13516,2959.9,203176,16644
295,Imperial Tobacco Group,"Food, Drink & Tobacco",United Kingdom,39217,895.5,42515,46494
296,BCE,Telecommunications services,Canada,16393,2287.7,37365,40536
297,Northrop Grumman,Aerospace & Defense,United States,24508,2200,28010,41747
298,LyondellBasell Industries,Chemicals,United Kingdom,29171,3832,23442,35762
299,Posco,Diversified Metals & Mining,South Korea,45754,1146.4,66040,19180
300,Telecom Italia,Telecommunications services,Italy,21045,2013.3,74303,18117
301,Oversea-Chinese Banking,Banking,Singapore,8554,2515.5,283716,28845
302,KB Financial Group,Banking,South Korea,13460,1847.8,311991,17912
303,Charles Schwab,Diversified Financials,United States,7644,1889,223383,53338
304,Orange,Telecommunications services,France,45263,552,101521,40400
305,Surgutneftegas,Oil & Gas Operations,Russia,13874,7759.9,60863,18524
306,Sompo,Insurance,Japan,29443,1665.9,91100,14379
307,Gas Natural Fenosa,Oil & Gas Operations,Spain,25646,1490,49693,21705
308,WPP,Media,United Kingdom,19415,1889.2,42714,27433
309,Bank Of Shanghai,Banking,China,10907,2068.8,236313,20741
310,ICICI Bank,Banking,India,11897,1556.5,138896,25124
311,Poly Real Estate,Real Estate,China,22377,1987.7,68341,16639
312,Hyundai Mobis,Consumer Durables,South Korea,32979,2618.4,34535,18865
313,DNB,Banking,Norway,8697,2221.3,308236,25629
313,Philips,Conglomerates,Netherlands,27120,1601.8,34072,28936
315,AmerisourceBergen,Drugs & Biotechnology,United States,148310,1346.9,33919,19013
316,Heineken Holding,"Food, Drink & Tobacco",Netherlands,23000,1703.5,42050,22966
317,CRH,Construction,Ireland,30051,1411,33324,28990
317,Discover Financial Services,Diversified Financials,United States,10496,2376,92831,25330
319,Safran,Aerospace & Defense,France,18232,2110.6,32758,32196
320,Etisalat,Telecommunications services,United Arab Emirates,14255,2292.7,33365,42739
321,CaixaBank,Banking,Spain,11013,1158.2,366976,25732
322,Eaton,Capital Goods,Ireland,19747,1922,30419,33449
322,SunTrust Banks,Banking,United States,8914,1878,204875,27200
322,Fubon Financial,Diversified Financials,Taiwan,15380,1501.4,196521,16092
322,Sumitomo,Trading Companies,Japan,38225,1148,67659,16763
326,Greenland Holdings Group,Real Estate,China,32842,1203.4,99608,14252
327,China Cinda Asset Management,Diversified Financials,China,13418,2337.1,169002,14686
328,Anglo American,Diversified Metals & Mining,United Kingdom,21455,1594,50149,19774
329,China Resources Land,Real Estate,Hong Kong,14510,2512.2,55080,19847
330,Royal Ahold Delhaize N.V.,Food Markets,Netherlands,54972,918.1,38259,26002
330,SingTel,Telecommunications services,Singapore,11949,2778,33043,45181
332,United Overseas Bank,Banking,Singapore,8203,2242.4,235440,25618
333,Subaru,Consumer Durables,Japan,29832,2819.6,22669,27286
334,Automatic Data Processing,Business Services & Supplies,United States,12051,1694.1,39999,45873
335,Midea Group,Consumer Durables,China,23898,2210.3,24549,31504
336,Linde,Chemicals,Germany,18748,1276.6,39009,31294
337,KIA Motors,Consumer Durables,South Korea,45435,2374.3,42134,12564
338,Hartford Financial Services,Insurance,United States,18142,896,225188,17884
339,Southwest Airlines,Airline,United States,20425,2243,24772,33556
340,América Móvil,Telecommunications services,Mexico,52180,462.7,73582,47344
341,Principal Financial Group,Insurance,United States,12529,1316.5,228014,18040
342,Fannie Mae,Diversified Financials,United States,108306,12313,3287968,2849
343,Ameriprise Financial,Diversified Financials,United States,11735,1314,139821,19895
344,Macquarie Group,Diversified Financials,Australia,10556,1467.6,147764,21155
345,Carrefour,Food Markets,France,87140,825.2,51519,16643
346,Celgene,Drugs & Biotechnology,United States,11008,1999.2,28086,97697
347,China Evergrande Group,Real Estate,China,32434,764,194383,14580
348,Takeda Pharmaceutical,Drugs & Biotechnology,Japan,15921,1216.6,35513,36874
349,SK Hynix,Semiconductors,South Korea,14823,2545.9,26673,31958
350,Saudi Telecom,Telecommunications services,Saudi Arabia,13819,2274.7,27082,37335
351,Tyson Foods,"Food, Drink & Tobacco",United States,36896,1900,22257,24171
352,Sinohydro Group,Construction,China,34640,862.2,71230,16488
353,Reckitt Benckiser Group,Consumer Durables,United Kingdom,13346,2471.9,22265,64132
354,CSX,Transportation,United States,11069,1714,36036,43784
355,Freddie Mac,Diversified Financials,United States,69843,7815,2023376,1534
356,Lincoln National,Insurance,United States,13410,1190,263467,14796
357,Kinder Morgan,Oil & Gas Operations,United States,12932,704,80305,48131
358,Power Corp of Canada,Insurance,Canada,35423,855.9,311156,10812
359,BP,Oil & Gas Operations,United Kingdom,183834,115,263316,114695
359,Chevron,Oil & Gas Operations,United States,110484,-497,260078,206083
361,Michelin Group,Consumer Durables,France,23127,1840.7,26708,21574
362,Cheung Kong Property Holdings,Real Estate,Hong Kong,8972,2501.1,51184,26239
363,SK Holdings,Oil & Gas Operations,South Korea,72072,659.9,85318,14658
364,Gree Electric Appliances,Consumer Durables,China,15268,2113.3,27242,27738
365,BAE Systems,Aerospace & Defense,United Kingdom,24004,1231.9,29108,25560
366,Bank Of Jiangsu,Banking,China,9732,1597.1,229987,16550
367,Edison International,Utilities,United States,11868,1311,51319,26146
368,Kansai Electric Power,Utilities,Japan,28278,1585.7,58479,11268
369,New China Life Insurance,Insurance,China,22049,750.8,100525,17605
370,Starbucks,"Hotels, Restaurants & Leisure",United States,21672,2882,14017,84558
371,Centrica,Oil & Gas Operations,United Kingdom,36569,2256,27053,14817
372,Biogen,Drugs & Biotechnology,United States,10502,3702.8,22877,58020
373,Canadian National Railway,Transportation,Canada,9085,2747.3,28025,55897
373,HDFC,Diversified Financials,India,8143,1558.1,64857,36705
375,Novo Nordisk,Drugs & Biotechnology,Denmark,16608,5634.8,13836,88213
376,Swedbank,Banking,Sweden,6278,2282.1,237127,25061
376,Tata Consultancy Services,IT Software & Services,India,17379,3883.5,14512,74475
378,Monsanto,Chemicals,United States,14458,1919,21373,50934
379,Mastercard,Diversified Financials,United States,10776,4059,18675,121331
380,Femsa,"Food, Drink & Tobacco",Mexico,20897,1136,26485,33098
380,PayPal,Diversified Financials,United States,10795,1401,33103,51673
382,Progressive,Insurance,United States,23504,1031,34335,22824
383,Svenska Handelsbanken,Banking,Sweden,6360,1897.3,289234,25853
384,Mitsui Fudosan,Real Estate,Japan,14909,1202.2,46722,21077
385,SEB,Banking,Sweden,7712,1240.2,288471,23761
386,Bank Rakyat Indonesia,Banking,Indonesia,8291,1969.5,74496,24166
387,Texas Instruments,Semiconductors,United States,13370,3417,16431,80501
388,Wilmar International,"Food, Drink & Tobacco",Singapore,41428,984,37032,16144
389,Daiwa House Industry,Construction,Japan,31891,1160.6,29602,19056
390,Baidu,IT Software & Services,China,10591,1738.1,26189,59921
390,Consolidated Edison,Utilities,United States,12062,1246,48255,23756
390,Maybank,Banking,Malaysia,7630,1627.7,164056,20661
393,DISH Network,Media,United States,15095,1449.9,28230,29110
394,Citic Securities,Diversified Financials,China,7599,1561.4,85969,27907
395,American Electric,Utilities,United States,16230,613.4,66221,33102
396,Suzuki Motor,Consumer Durables,Japan,28318,1359.8,25885,19945
397,VTB Bank,Banking,Russia,19517,698.6,206172,14861
398,Metallurgical Corp of China,Construction,China,32438,806.2,54344,15403
399,Petrobras,Oil & Gas Operations,Brazil,81068,-4252.7,247318,61278
400,Norfolk Southern,Transportation,United States,9888,1663,34892,36012
401,TJX Cos,Consumer Durables,United States,33184,2298.2,12884,49123
402,Investor AB,Diversified Financials,Sweden,7269,3932,40725,32186
403,American International Group,Insurance,United States,52367,-849,498264,60086
404,Sempra Energy,Oil & Gas Operations,United States,10198,1337,47786,27486
405,International Airlines,Airline,United Kingdom,24997,2180,28872,13687
405,SSE,Utilities,United Kingdom,37200,1056,27833,18712
407,eBay,Retailing,United States,8979,7266,23847,36599
408,NTPC,Utilities,India,12202,1555.3,38665,21533
409,Old Mutual,Diversified Financials,United Kingdom,22086,769.1,208149,11724
410,Magna International,Consumer Durables,Canada,36447,2029.7,22566,15300
411,China Yangtze Power,Utilities,China,6457,2810.7,45323,42318
